sepal_length,sepal_width,petal_length,petal_width,species_pred,species_prob
5.5,2.5,4.0,1.3,versicolor,0.9649070108995426
6.9,3.1,5.1,2.3,virginica,0.9647878447665476
5.1,2.5,3.0,1.1,versicolor,0.9493294291642502
4.4,2.9,,0.2,setosa,0.6367648581368518
5.9,3.0,5.1,1.8,virginica,0.7607361253437624
5.5,3.5,1.3,0.2,setosa,0.9586820120810026
5.6,,3.6,1.3,versicolor,0.9373695177087137
6.5,3.0,5.2,2.0,virginica,0.9458891665254622
5.3,3.7,1.5,0.2,setosa,0.9636574113572812
5.1,3.4,1.5,,setosa,0.8132768120521026
6.1,2.8,4.0,1.3,versicolor,0.9776239873319862
5.5,2.4,3.7,1.0,versicolor,0.9779103028008495
7.7,3.0,6.1,2.3,virginica,0.9597706453925492
6.9,3.1,4.9,1.5,versicolor,0.7452782216216153
6.0,2.2,5.0,1.5,versicolor,0.5903039583683096
